method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
MILP,300,AD_1,"SWNN300DAD_1R2e-05P(25, 200)I1",134670.0,134670.0,24.0,39.1881411075592,0.0,,,
Matheuristic,300,AD_1,"SWNN300DAD_1R2e-05P(25, 200)I1",,,,8.257614135742188,,139657.0,3.6780121326446538,4.579602003097534
ILP,300,AD_1,"SWNN300DAD_1R2e-05P(25, 200)I2",136478.0,136478.0,17.0,60.54192900657654,0.0,,,
MILP,300,AD_1,"SWNN300DAD_1R2e-05P(25, 200)I2",136478.0,136478.0,18.0,26.97144889831543,0.0,,,
Matheuristic,300,AD_1,"SWNN300DAD_1R2e-05P(25, 200)I2",,,,5.993981838226318,,140819.0,2.46244478225708,3.5315370559692383
ILP,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I0",218068.0,218068.0,6.0,7.122299909591675,0.0,,,
MILP,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I0",218067.7272727273,218068.0,20.0,51.93457889556885,0.0001250652423717,,,
Matheuristic,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I0",,,,5.8374950885772705,,207123.0,2.388942003250122,3.4485530853271484
ILP,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I1",218744.0,218756.0,9.0,8.480178833007812,0.005485563824535,,,
MILP,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I1",218756.0,218756.0,15.0,25.60953998565674,0.0,,,
Matheuristic,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I1",,,,4.79105281829834,,207771.0,2.9512767791748047,1.8397760391235352
ILP,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I2",218948.0,218969.0,6.0,5.740504026412964,0.0095903986409035,,,
MILP,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I2",218955.16666666663,218969.0,17.0,22.15115714073181,0.0063174848190122,,,
Matheuristic,300,AD_1,"SWNN300DAD_1R3e-05P(25, 200)I2",,,,5.347799062728882,,210438.0,2.326287031173706,3.021512031555176
ILP,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I0",621790.0,621819.0,18.0,322.38078117370605,0.004663736553563,,,
MILP,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I0",621801.375,621822.0,15.0,395.1412239074707,0.0033168655981936,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I0",,,,8.82427191734314,,670869.0,6.512316942214966,2.311954975128174
ILP,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I1",633481.0,633497.0,4.0,66.49336385726929,0.0025256631049555,,,
MILP,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I1",633480.6666666666,633531.0,7.0,144.10213494300842,0.0079448887794554,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I1",,,,18.86989998817444,,680593.0,3.270796060562134,15.599103927612305
ILP,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I2",633742.3333333333,633762.0,9.0,250.04000306129456,0.0031031628066599,,,
MILP,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I2",633742.5,633777.0,9.0,81.60620713233948,0.0054435550674764,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R1e-05P(25, 200)I2",,,,19.706430673599243,,683454.0,7.07573390007019,12.630696773529053
ILP,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I0",1343417.9746954085,1343471.0,6.0,103.40702891349792,0.003946888663153,,,
MILP,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I0",1343417.8321823203,1343539.0,9.0,137.85854387283325,0.0090185560433824,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I0",,,,31.512650966644287,,1359748.0,8.327413082122803,23.185237884521484
ILP,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I1",1356375.5909090906,1356510.0,2.0,46.10397911071777,0.0099084482170723,,,
MILP,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I1",1356375.590909091,1356422.0,3.0,2.6664960384368896,0.0034214345468403,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I1",,,,5.684578895568848,,1372506.0,3.992835998535156,1.6917428970336914
ILP,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I2",1334129.2033036824,1334230.0,6.0,90.19065690040588,0.0075546717070981,,,
MILP,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I2",1334128.104616688,1334231.0,7.0,75.26720881462097,0.0077119616702155,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R2e-05P(25, 200)I2",,,,15.940055131912231,,1349757.0,7.855046987533569,8.085008144378662
ILP,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I0",2074306.0000000005,2074387.0,7.0,89.82611799240112,0.003904768010961,,,
MILP,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I0",2074305.79245283,2074380.0,4.0,97.6750500202179,0.0035773362243117,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I0",,,,14.726959943771362,,2043588.0,5.0213401317596436,9.70561981201172
ILP,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I1",2061129.5153846145,2061149.0,4.0,81.47480797767639,0.0009453278431479,,,
MILP,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I1",2061129.270491803,2061271.0,1.0,3.082921028137207,0.0068758308925383,,,
