method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
MILP,100,0.1,"RNDN100D0.1R0.002P(25, 125)I1",46042.0,46042.0,12.0,1.1570510864257812,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(25, 125)I1",,,,0.9418470859527588,,49031.0,0.927008867263794,0.0148382186889648
ILP,100,0.1,"RNDN100D0.1R0.002P(25, 125)I2",47056.0,47056.0,15.0,3.2823710441589355,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(25, 125)I2",47056.0,47056.0,16.0,1.818350076675415,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(25, 125)I2",,,,1.2337968349456787,,49969.0,1.224357843399048,0.0094389915466308
ILP,100,0.1,"RNDN100D0.1R0.002P(50, 150)I0",63280.0,63280.0,9.0,5.767408132553101,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(50, 150)I0",63279.99999999999,63280.0,10.0,2.4905760288238525,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(50, 150)I0",,,,2.4637973308563232,,64524.0,2.4343390464782715,0.0294582843780517
ILP,100,0.1,"RNDN100D0.1R0.002P(50, 150)I1",62080.0,62080.0,23.0,3.4432082176208496,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(50, 150)I1",62080.0,62080.0,8.0,1.7498531341552734,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(50, 150)I1",,,,2.222967624664306,,65519.0,2.2130038738250732,0.0099637508392333
ILP,100,0.1,"RNDN100D0.1R0.002P(50, 150)I2",62179.0,62179.0,13.0,2.9068851470947266,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(50, 150)I2",62179.0,62179.0,27.0,1.8386521339416504,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(50, 150)I2",,,,2.0272467136383057,,66469.0,1.9983596801757812,0.0288870334625244
ILP,100,0.1,"RNDN100D0.1R0.002P(75, 175)I0",78282.0,78282.0,14.0,4.532118797302246,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(75, 175)I0",78282.00000000003,78282.0,24.0,2.506448984146118,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(75, 175)I0",,,,1.1898508071899414,,83535.0,1.163618803024292,0.0262320041656494
ILP,100,0.1,"RNDN100D0.1R0.002P(75, 175)I1",78509.0,78509.0,29.0,5.490333080291748,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(75, 175)I1",78509.0,78509.0,13.0,3.1418910026550293,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(75, 175)I1",,,,2.003532886505127,,82783.0,2.001260042190552,0.0022728443145751
ILP,100,0.1,"RNDN100D0.1R0.002P(75, 175)I2",79374.0,79374.0,12.0,1.9350430965423584,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(75, 175)I2",79374.0,79374.0,6.0,0.5891561508178711,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(75, 175)I2",,,,0.8427741527557373,,83672.0,0.8071110248565674,0.0356631278991699
ILP,100,0.1,"RNDN100D0.1R0.002P(100, 200)I0",94034.0,94034.0,27.0,4.435866832733154,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(100, 200)I0",94034.0,94034.0,14.0,2.4227728843688965,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(100, 200)I0",,,,2.2533557415008545,,99147.0,2.209902763366699,0.0434529781341552
ILP,100,0.1,"RNDN100D0.1R0.002P(100, 200)I1",94483.0,94483.0,14.0,1.465071201324463,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.002P(100, 200)I1",94483.0,94483.0,9.0,0.9437360763549804,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(100, 200)I1",,,,1.1832828521728516,,97586.0,1.1715567111968994,0.0117261409759521
ILP,100,0.1,"RNDN100D0.1R0.002P(100, 200)I2",94594.0,94594.0,12.0,3.0052289962768555,0.0,,,
